system:index,cluster,.geo
89,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.64451454675265,1.3166607119339835]}"
90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.09584186833985,3.7816378515579503]}"
91,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.50834367252568,-1.4232009046305567]}"
92,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.19897303723862,4.539815951354827]}"
93,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.74619926263313,-1.4995577037807166]}"
94,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.42677207044578,1.440628221142477]}"
95,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.21906327962994,1.2151510848284772]}"
96,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.17774077656044,0.7938412165764221]}"
97,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.53349650048102,-2.6817406176820064]}"
98,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.06547423745475,2.0227365252519274]}"
99,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.49451876571395,4.75900488067999]}"
100,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.78268001173208,2.054177560196111]}"
101,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.74100733111264,-1.852595610439689]}"
102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.07086412915947,2.07394049644674]}"
103,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.58811864403735,5.310570465129376]}"
104,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.08129373501896,6.218767217374213]}"
105,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.542281693138,-0.5653098082964139]}"
106,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.62350311766795,1.1612521677813064]}"
107,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.68745859161541,2.6542521699879513]}"
108,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.06153079876833,4.779666132214739]}"
109,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.34772032544326,2.0227365252519274]}"
110,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.00241707879142,3.9172834594599983]}"
111,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77676485370245,2.9866288251121738]}"
112,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.44743332198053,0.7857563790193458]}"
113,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20076966780687,5.124619201316635]}"
114,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.85472032323662,2.6803033132274168]}"
115,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.5396096186949,6.208885749248898]}"
116,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.87575462373057,4.653901992438006]}"
117,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.58093212176439,5.419266614507839]}"
118,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.27909818630023,5.4129784075190015]}"
119,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.44204343027582,2.126941098209792]}"
120,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.57267219543235,4.75810656539587]}"
121,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.20471310649329,2.031719678093123]}"
122,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.42228049402519,1.768513299846103]}"
123,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.25214872777664,4.152642063899313]}"
124,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.31358434464671,1.3597798455717207]}"
125,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.2668719498725,-0.36049392351716314]}"
126,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.74514872998328,4.7634964571005876]}"
127,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.2623803734519,3.5130415816062137]}"
128,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.71585450315729,0.28090318934417535]}"
129,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.02971671486495,0.9178087257849157]}"
130,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.67238519196961,1.5798670901810032]}"
131,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.97599288659275,0.4812274977028279]}"
132,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.85848867314806,-0.8051599891563264]}"
133,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.86335329852787,3.946029548551823]}"
134,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.00062044822317,4.802124014317727]}"
135,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.14452598245728,4.488611980160014]}"
136,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.12907953385228,2.6174212433390505]}"
137,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.47707772635647,2.9201534940873293]}"
138,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.11001695270153,1.326542180059298]}"
139,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.86712164843931,-1.488777920371282]}"
140,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.15762766275986,0.9115205187960793]}"
141,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.88491286534673,-1.1689776792247333]}"
142,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.9966541381275,2.841101749084811]}"
143,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.91725221557503,-2.023275514422398]}"
144,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.42315593790005,1.4451197975630752]}"
145,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.21604102763689,3.396260594670676]}"
146,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.7864712330528,1.4487130586995534]}"
147,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.54030997379478,1.9284134204193775]}"
148,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.19268483024979,3.7591799694549626]}"
149,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.62764451653861,0.22161438059228633]}"
150,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.95874980741951,-0.10088080640662156]}"
151,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.45873837171487,2.1970096903711145]}"
152,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.37197483811448,-1.7528826139024218]}"
153,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.22103499897315,1.3714579442652743]}"
154,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.31538097521496,0.810909206974693]}"
155,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.86335329852787,-1.5992707003179838]}"
156,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.46307773076975,3.0611889936940946]}"
157,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.45858615434916,3.4887870689349865]}"
158,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.240995895408,-1.5507616749755293]}"
